KAM,ACCX_F4,ACCY_F4,ACCZ_F4,GYRX_F4,GYRY_F4,GYRZ_F4,ACCX_ED,ACCY_ED,ACCZ_ED,GYRX_ED,GYRY_ED,GYRZ_ED,ACCX_C0,ACCY_C0,ACCZ_C0,GYRX_C0,GYRY_C0,GYRZ_C0,ACCX_46,ACCY_46,ACCZ_46,GYRX_46,GYRY_46,GYRZ_46,LFET_RECTUS_FEM,LEFT_VLO,LEFT_VMO,RIGHT_RECTUS_FEM,RIGHT_VLO,RIGHT_VMO
0.337424583,0.03,-0.014,0.992,7.507,3.174,3.723,0.104,0.419,1.079,49.011,-22.278,17.029,0.083,-1.128,1.965,135.193,-34.607,161.621,-0.108,-0.347,1.216,47.546,-26.306,-17.883,0.50569404,-0.189819195,-0.397058864,0.003506398,0.886037793,0.053859402
0.336037339,0,-0.019,1.014,11.78,7.568,3.235,0.098,0.453,1,48.645,-20.569,16.113,-0.076,-1.187,0.95,48.462,-121.033,54.26,-0.01,0.238,0.826,48.035,-34.424,-11.169,-0.235761863,0.782401151,0.367232912,-0.049223007,0.068753605,1
0.339771146,0.005,-0.018,1.027,14.893,4.15,3.357,-0.004,0.477,0.937,52.185,-15.259,15.991,0.083,-1.128,1.965,135.193,-34.607,161.621,0.097,0.324,1.339,17.7,-17.334,2.808,-0.374784259,-0.690661441,-0.057373847,0.038110078,0.215445357,0.007136523
0.344958866,0.004,-0.01,1.042,23.315,5.127,3.296,-0.083,0.524,0.869,55.908,-13.855,17.09,-0.076,-1.187,0.95,48.462,-121.033,54.26,-0.01,0.238,0.826,48.035,-34.424,-11.169,0.227648488,0.708746814,0.341756055,-0.003084772,-0.277020105,-0.400790193
0.340765551,-0.038,0.004,1.048,21.79,9.949,1.526,-0.042,0.535,0.854,58.35,-24.78,20.264,-0.073,0.19,1.057,28.931,-93.75,17.212,0.097,0.324,1.339,17.7,-17.334,2.808,-0.258932051,-0.837965287,-0.431028006,0.043053441,0.246879206,0.052960867
0.340828115,-0.059,0.005,1.04,29.602,5.493,2.136,-0.004,0.51,0.917,57.922,-40.222,24.597,0.583,-0.149,1.462,210.876,-83.801,42.419,0.318,0.261,1.578,30.457,-31.677,2.197,0.266265975,0.649823345,0.137945101,-0.009675942,-0.214152064,0.10237941
0.34571028,-0.059,0.007,1.032,31.738,5.432,1.526,0.01,0.444,1.006,63.904,-39.063,25.818,-0.073,0.19,1.057,28.931,-93.75,17.212,0.398,0.303,1.438,32.837,-23.682,6.531,0.335778818,-0.779041818,-0.464997148,0.059531137,0.959381609,-0.076425821
0.341830659,-0.058,0.005,1.029,38.147,4.517,0.488,0.033,0.38,1.085,78.735,-29.541,28.015,0.583,-0.149,1.462,210.876,-83.801,42.419,0.318,0.261,1.578,30.457,-31.677,2.197,0.289436923,0.708746814,0.171913686,0.000210812,-0.486579555,-0.101584213
0.333816151,-0.082,0.018,1.061,40.344,11.963,0.183,0.07,0.393,0.964,91.125,-22.644,26.55,0.065,0.004,1.439,165.344,-15.259,50.476,0.398,0.303,1.438,32.837,-23.682,6.531,0.142689865,-0.837965287,-0.456504862,0.077657197,0.288791233,0.045772881
0.333816804,-0.04,-0.018,1.057,62.378,-5.737,0.061,0.087,0.411,0.902,83.252,-11.841,28.931,-0.294,1.072,1.363,134.277,-37.903,51.636,0.509,0.361,1.248,32.532,-39.246,7.996,0.567483234,0.576173836,0.401202054,0.011745386,-0.465623198,-0.125844364
0.318230926,-0.018,0.047,1.061,58.899,8.301,-4.211,0.112,0.507,0.786,86.853,-11.475,26.001,0.065,0.004,1.439,165.344,-15.259,50.476,-0.002,0.361,1.326,40.222,-40.222,-6.836,-0.722343414,-0.955812225,-0.388566579,0.067770255,0.781256008,0.055656472
0.322643163,-0.02,0.016,1.076,78.064,3.357,-7.019,0.113,0.518,0.772,85.876,-5.493,27.283,-0.294,1.072,1.363,134.277,-37.903,51.636,0.509,0.361,1.248,32.532,-39.246,7.996,-3.28E-01,0.649823345,0.282310057,-0.004732569,-0.643748798,-0.035992334
0.317184481,-0.034,0.024,1.087,85.999,11.047,-11.353,0.065,0.53,0.762,90.271,-8.606,24.475,-0.109,0.085,1.305,112.61,-2.563,26.062,-0.002,0.361,1.326,40.222,-40.222,-6.836,-0.019503682,-0.779041818,-0.354597437,0.04470121,0.225923535,-0.33340301
